"","CC302","CC304","CC302a","CC305","CC306","CC308a","CC308b","CC308c","CC320","CC321","CC322_1","CC322_2","CC322_3","CC322_4","CC322_5","CC322_6","CC324","CC325","CC326","CC327","CC332A","CC332B","CC332C","CC332D","CC332E","CC332F","CC332G","CC332H","CC332I","CC332J"
"161352035",5,2,5,2,3,4,3,3,2,5,2,1,1,1,1,1,2,5,2,4,1,2,1,1,1,1,1,1,2,2
"161352096",3,3,2,1,1,2,4,3,1,1,1,2,2,2,2,2,4,2,2,3,2,1,2,2,2,1,2,2,1,2
"161352111",4,5,4,1,1,3,4,4,3,1,1,1,1,1,1,1,4,3,1,4,2,2,1,2,2,2,2,1,2,1
"161354462",2,3,2,1,2,1,4,2,1,1,2,1,2,1,2,2,3,1,1,2,2,1,2,2,2,1,2,2,1,1
"161356220",2,4,3,2,3,1,2,2,1,3,1,1,1,2,2,2,3,3,1,2,2,1,1,1,2,2,2,1,1,2
"161357984",3,2,2,2,2,2,2,5,1,2,2,1,2,1,1,2,4,3,2,3,2,1,2,2,2,2,2,2,1,2
"161361247",3,3,2,1,2,2,3,1,1,2,1,2,2,2,1,1,4,3,1,3,2,1,1,2,1,1,2,1,1,1
"161361609",2,3,1,1,1,1,,3,1,4,1,2,2,2,2,2,4,1,1,1,2,2,2,1,2,2,2,2,1,1
"161363998",3,2,3,1,1,2,4,3,1,1,1,2,2,2,2,2,4,2,1,3,2,1,2,2,2,1,2,2,1,1
"161370693",4,5,5,3,3,2,4,3,2,3,2,1,1,1,1,1,4,3,1,4,2,1,1,2,2,2,1,1,2,1
"161375691",3,3,6,1,2,2,5,5,1,2,1,2,2,2,2,2,3,3,2,3,2,1,1,2,2,1,2,1,1,1
"161376015",3,2,2,3,1,2,4,1,1,2,2,1,1,1,1,2,3,1,1,1,2,1,1,2,2,1,2,1,1,1
"161376654",5,2,5,2,2,4,3,4,3,4,2,2,2,2,2,1,2,5,2,4,1,2,2,1,1,2,1,2,2,2
"161379705",3,3,3,2,2,3,3,5,3,3,2,1,1,1,1,1,4,3,1,3,2,1,2,2,2,2,2,1,1,1
"161382096",4,5,4,3,1,2,4,4,3,1,1,2,2,1,2,2,4,1,1,2,2,2,2,2,2,1,1,2,1,1
"161409948",3,5,6,1,1,2,4,4,3,2,2,1,1,1,2,1,4,3,2,4,2,2,1,2,2,2,2,1,1,1
